index,Artist,Chords,Label,Song
572,misc-praise-songs,"A,G,D7,G7,C,E,D,A7,E7",intermediate,because-he-lives
573,abba,"F7,Bb,F/A,Bb/F,F/C,C,Bb/D,F9,F,C7,Eb,Fsus4,Eb/G,F13,C/E",intermediate,andante-andante
574,-38-special,"A,C#,E/Eb,Bb,B,G,F#m,C,A/G#,E,C#m,E/B,G#,G#m",advanced,caught-up-in-you
576,george-ezra,"G,F,Am,C",novice,shotgun
577,louis-armstrong,"A,Dm,B,Dm7,G,C,Fmaj7,Am,F,Em,E7",novice,what-a-wonderful-world
578,antony-and-the-johnsons,"D,A,Bm,G",advanced,fistful-of-love
579,the-lumineers,"G/B,G,C,F,Am",novice,sleep-on-the-floor
580,syml,"Dm,G,C,F,Am,Em",novice,wheres-my-love
581,the-police,"A,E,C#m,D,D/E",advanced,next-to-you
582,jack-johnson,"A,Fm#,E,C#m,D,Bm",advanced,cocoon
583,nat-king-cole,"Fm6,Dm7,Bm7b5,Bb7,F#dim,F,Em7,FM9,B7,G-9,C7,Am7,G7b9,G7+5,C6,Gm7,Bdim7,A9,FM7,F#7,D7,CM7,D7sus4,Db7b5,E7+9",advanced,i-love-you-for-sentimental-reasons
584,paul-simon,"A,B7,G,C,E,D,A7",intermediate,me-and-julio-down-by-the-schoolyard
585,cher,"Am7,G/B,Em/G,A,Bm7,G,C,Am,D/F#,E,Em,D,Bm,A/C#",advanced,you-havent-seen-the-last-of-me
586,rex-orange-county,"A,Amaj7,B,Am,A6,E,G#,E7",novice,best-friend
587,toto,"Bb,Dm,G,C,Gm,Cm,F,Eb,Em",advanced,rosanna
588,billy-joel,"A,Bb,Am7-5,G,D7,Gm,Cm,F,D/F#,Am,Em,E,D",intermediate,uptown-girl
589,lana-del-rey,"A,Bb,Fm,Eb,Em,D",novice,blue-jeans
590,the-platters,"Ao,G+,Ebmaj7,Bb7,Bb13,Fm7,G#m7,Abm,Eb/Bb,Abm6,B,Cm7,Cm7/Bb,Fm,Eb,Ab,F#o,F#7,F#7/C#,Bb,F#13,Eb/D",advanced,smoke-gets-in-your-eyes
591,lukas-graham,"Bb,Gm,F,Am,Eb",intermediate,7-years
592,black-sabbath,"G,C,E,Em,D",intermediate,paranoid
593,a-great-big-world,"G,Dmaj7/F#,Asus4,D/A,Gsus2,D,Bm",novice,say-something
594,the-beatles,"A,C#,B,G#,A7,E7,F#",intermediate,day-tripper
595,foo-fighters,"Fsus2/E,Asus2,G,Cmaj7,Am",novice,everlong
596,panic-at-the-disco,"Dm7,F/C,Bb7,Bb/D,Cm,Bb+,F,Gaug,Ab/Eb,Eb+/B,F7,Bb/C,Bb6/D,Bb/F,Gm,Eb/Bb,C7,Eb/B,Db,F6,F+,F6/A,Daug,Eb+,Fm,F+/C#,Eb,Ab,G13,Bb6,Eb/G,Bb,Dm,Bb+/F#,G7,Am,Aaug,Eb6,Cm/G,Eb7",advanced,impossible-year
597,wallows,"G,F,Dm,C",novice,are-you-bored-yet
598,whitney-houston,"A,Amaj7,G,Dsus4,Esus4,F#m,C,Am,E,Em,D,Bm",intermediate,i-will-always-love-you
599,girl-in-red,"A,E,B",intermediate,girls
600,sade,"Am7,Am7/B,Dm/Db,Dm,Am7/C,Gm7,Am7/Cb",intermediate,smooth-operator
601,gilbert-osullivan,"Em7b5,Amaj7,Dmaj7,Bm7b5,Em7,F,F#m7,Bbm,A9/E,D6,B7,F#m,A7b9,C7,D,C7/Bb,Gm6,B7b9,Daug,D/F#,C#7,F#7sus4,F#m7b5,Am,Em,A7",advanced,alone-again-naturally
602,avicii,"A,G,D,Bm,F#",novice,wake-me-up
603,sinach,"Am7,G,F,C",novice,way-maker
604,all-sons-daughters,"A,F#m,Asus,D2,E,D",novice,great-are-you-lord
605,rex-orange-county,"F#m6,Amaj7,B7,B13,C#maj7,B7b13,Dmaj7,Cmaj7,Fdim7,Emaj7,D#maj7",advanced,corduroy-dreams
606,rihanna,"Am7/G,Dm,G,C,F,Am,Em",novice,stay
607,the-ink-spots,"F/A,F7,Bb,Dm7,Cm7,C,Gm,Bb7,G7,F,F#dim7,Gm7,C7,Bbm,Abdim7",intermediate,i-dont-want-to-set-the-world-on-fire
608,billie-eilish,"B,G,C,Am,Em,D",novice,idontwannabeyouanymore
609,alt-j,"A5,C,Am/E,Am,F,E,Em,D,Am/C",novice,breezeblocks
610,kacey-musgraves,"A,C/G,B7,G,C,Dadd4,Asus4,D/F#,Em,D",novice,rainbow
611,panic-at-the-disco,"A,D,Dm,B7,F#,F#m,A/D,B7sus4,Dm6,E,F#m7,Aadd9,A#dim7,E7,A#dim,Bm7,Bm",advanced,death-of-a-bachelor
612,portugal-the-man,"A,E,C#m,F#m",intermediate,feel-it-still
613,creedence-clearwater-revival,"G,A7,Bm,Dm",intermediate,i-heard-it-through-the-grapevine
614,misc-soundtrack,"Bbdim/C,Cm,Bb13,Em7,Ab/Eb,Ab9,E7,Am/C,Am9,Fm7,Em/G,E7(b9),G,G/D,Bb9,DbM7/Eb,Db,Dm/G,Fm/Ab,Em/A,C2,F6,CM7/D,G9,C,D13,Bdim,Eb7,Fm,Eb,Ab,A9,A,D7,Bbm9,G7,Bbm/Db,E,Em,A13,A7,Bbdim",advanced,cabaret-maybe-this-time
615,edison-lighthouse,"A,F7,Bb,B7,Dm,F#m,Gm,Cm,F,E,C#m,Eb,D,A7,E7,Bm",advanced,love-grows-where-my-rosemary-goes
616,bob-dylan,"Dm7,G,C,F,Em,Fmaj7/C",intermediate,like-a-rolling-stone
617,pink-floyd,"G,F,Dm,C",novice,another-brick-in-the-wall-part-2
618,cavetown,"A,G,C,Cmaj7,Cm,Em",novice,this-is-home
619,misc-soundtrack,"Edim,Bb/D,Cm,Am7b5,F,E7,G/B,F7,G,E7sus4,Bb/F,Gm,G/D,G7sus4,Bm,Dm/A,Am7,Ebm,B,Esus4,Cm7,C,Gb,Eb,C#dim,Bm/F#,Ab,A,C#m7b5,F#7,Bb,D7,C/D,G7,Cm6,Am,Em,A7",advanced,a
620,rex-orange-county,"F#m,AMaj7,E,C#m,D,Bm,F#",intermediate,untitled
621,john-sebastian,"B7,E/G#,G,Dmaj7,Em7,E,A6,Asus4,F#m7,A7,Gm6,Bm,Aadd9",advanced,welcome-back
622,the-beatles,"D,A,A7,G",intermediate,get-back
623,misc-cartoons,"D7sus,Bb,Gsus,G,D7,Csus,C,F,Am,C7,Em,Fm,D,E",intermediate,the-little-mermaid-part-of-your-world
624,george-strait,"A,B7,G,F#m,E,D,G#m",intermediate,amarillo-by-morning
625,lizzo,"A,Gmaj7,D7,D7sus4,Bm,Bm7",intermediate,juice
626,ashe,"Am7,C#m7b5,B7/D#,B7,G,D7,Fmaj7sus2/C,Cmaj7,Cm,Csus2,G/D,Am,Em7,D7/C",intermediate,moral-of-the-story
627,george-gershwin,"Am7,B7,Ebm7-5,G6,Em6,Cmaj7,G/D,C7,B7+,F13-5,C#m7-5",advanced,summertime
628,katy-perry,"Am7,F/A,Dm,G,C,E/A,F,Am,E,Em,Dm/A",novice,i-kissed-a-girl
629,todd-rundgren,"Amaj7,F#maj7,Dmaj7,Em7,Asus4,G#maj7,Fm7,CMaj7,DMaj7,Gmaj7,G,EMaj7,G#,D,Bm7,Am7,Cm7,Fmaj7,C#Maj7,A,A#m7,Em,A#",advanced,hello-its-me
630,one-direction,"A,E,B",novice,what-makes-you-beautiful
631,kenny-loggins,"A,Dm,G,E,G#,D,D#,F#",intermediate,footloose
632,red-hot-chili-peppers,"G,C,Em,D,Bm",novice,cant-stop
633,misc-christmas,"Am7,Dm7,G,D7,F#dim,C,G7,F,C7,Em7,C#dim,A7,E7,Bm7",advanced,frosty-the-snowman
634,sara-bareilles,"C#,Bb,Dm,B,C,F,Am,Bbm,Db,D#m,F#",advanced,what-baking-can-do
635,jacob-collier,"Bmaj7,Amaj7,G#7,Abmaj7,F,Em7,C#m,F#m7,B/D#,E7,Fm7,F#,G#m7,A7add4,Bbm7,A#m,Gmaj7,C#m7,G,D#m7,E7sus4,F#7/E,A/C#,Am7,D#7,Em7/B,B,Eb7,Cmaj7,Fmaj7,Gm7,G#m,D#,A,E/F#,F#7,F#7sus4,D7,C/D,E,D7sus4,F#sus4,Emaj7",advanced,in-my-room
636,christina-perri,"G,Dsus4,Cadd9,A7sus4,Em7,D/F#,D",novice,a-thousand-years
637,ed-sheeran,"A,B,C#m,F#m",novice,shape-of-you
638,misc-cartoons,"C#,A,Dm,B,F#m,E,D,G#m,E7,Bm,D#m,F#",intermediate,mulan-reflection
639,luther-vandross,"A,B,F#m,E,C#m,G#m",advanced,always-and-forever
640,paul-mccartney,"G,C,G7,Cm,F,Am,Asus4,Fm,Ab",advanced,jenny-wren
641,milky-chance,"B,E,G#m,D#,F#",novice,stolen-dance
642,corinne-bailey-rae,"A,F#m6,B7,Ddim7,F#m,Dmaj7,C#7/E#,E9,Bm,E13",advanced,put-your-records-on
643,dua-lipa,"B7,G,C,Cmaj7,D/F#,Em,D,Bm,Bm7",novice,break-my-heart
644,red-hot-chili-peppers,"Bb,Dm,G,C,Cmaj7,Am,F,Eb,Em,Ab,D,Db",intermediate,under-the-bridge
645,cat-stevens,"A,G,C,F,Am,E,D",intermediate,peace-train
646,bob-marley,"D,A,E",intermediate,stir-it-up
647,stevie-wonder,"G,E,Em,D,A7,E7,Bm7,F#",intermediate,isnt-she-lovely
648,misc-soundtrack,"Fm6,Bb7,Am7b5,Fm#5,Gm/Bb,Gm,C7,Gm6,Bbmaj7/Eb,Bb7/Eb,Bb7b9,Eb+,Fm,Eb,Gm7,Ab,D7,Eb11,Fm7b5,Bb9sus,Eb6,Bb9",advanced,follies-losing-my-mind
649,madonna,"Am7,Bb,Dm7,Bbmaj7,C,A7sus,C#(b5),Gm7,A7,C/E,Bbdim",advanced,secret
650,mac-miller,"A,B,G#7,C#m7,E",intermediate,good-news
651,maroon-5,"G,C,F,Am,Em",novice,memories
652,marlon-roudette,"G,C,Am,E,Em,D",advanced,new-age
653,ed-sheeran,"Dm,G,C,F,Am,Em",novice,i-see-fire
654,adele,"Am7,G/B,B7,G,D7,A7sus4,C,G7,Cm,F,D/F#,Em,A7,Baug",intermediate,make-you-feel-my-love
655,kansas,"G/B,Dm7,Asus2,G,Am/G,Cadd9,C,Cmaj7,Am,Asus4,D/F#",advanced,dust-in-the-wind
656,the-offspring,"A,F#2,B,E2,C,D2,E,G2,D,F#",advanced,come-out-and-play
657,luke-chiang,"Gmaj7,Dmaj7,Em7,Gm7,F#m7,A7,E7,D#dim7,Bm7",advanced,paragraphs
658,jason-derulo,"F,G,Am,C",novice,savage-love
659,jamiroquai,"Bmaj7,Abm7,Db9,Ab7,Ebm7,Dm7,Gbmaj7,B,Bb+5,Ddim7,Cm7,Cm7-5,Bb7,D/Eb,Dm7-5",advanced,virtual-insanity
660,miley-cyrus,"B,G,C,Cmaj7,Am,Em,D,Bm",novice,midnight-sky
661,yvonne-catterfeld,"Am7,G/B,Gbm,Dm,Dm7,Bbadd2,G,F/C,G/C,C,Gsus4,Gb/Db,Em7,Am,F,Db",advanced,fur-dich
662,men-i-trust,"Am7,Amaj7,Dm7,Bbmaj7,Cmaj7/G,F#m,Dmaj7,G7,E6,Fmaj7,F#m/F,F#m/E,E7,F#m/Eb",intermediate,show-me-how
663,chris-cornell,"Bb,G,F,Eb,Em,Ab,D",advanced,black-hole-sun
664,harry-styles,"G,C,F,Am,Em",novice,girl-crush
665,billie-eilish,"C/G,C,Em/B,Am,E,Em",novice,bellyache
666,hillsong-worship,"G,C,D/F#,Em,D",novice,who-you-say-i-am
667,neil-young,"A,Esus4,E,C#m,Bm,F#",intermediate,out-on-the-weekend
668,robbie-williams,"A,B,C#m7,E/G#,F#m,E,C#m,D,Bm,A/C#",intermediate,angels
669,aerosmith,"Fsus2,F7,C/G,C7/G,Am/G,C5/G,Csus2/F,Cm6/G,Cm/F",advanced,walk-this-way
670,elton-john,"C/B,F#m/E,C#m,Em7,B7#9,B7,D,Bm7,Am7,B,Am7/E,B7/E,Cmaj7,A/E,A,F#m7/E,E,Em,Am9",advanced,im-still-standing
671,charlie-puth,"G,F,Em,Am",novice,we-dont-talk-anymore
672,frank-sinatra,"Am7,Gm7b5,Db7,Em7b5,F7,Dm7,Bbmaj7,D7,Cm7,Eb7#11,A7b9,Fmaj7,D7b9,F#dim7,C7,Gm7,C7sus4,Eb/G",advanced,you-make-me-feel-so-young
673,morgan-wallen,"D,G,Bm,Em",novice,cover-me-up
674,the-beach-boys,"A,G,D7,C,G7,Am,D",intermediate,sloop-john-b
675,jason-robert-brown,"Gmin/D,GMaj7,E6,Ab/Eb,Abmin/Eb,Ab7/Bb,Bbm7,Ab7,G,Fmin7,Bb7sus/D,G6,AbMaj7,EMaj7,C7,Db/Eb,AbMaj7/Bb,E7sus,Db,Db2,Ab6,C9,Absus,Bbmin7,Eb7,Fmin7/G,C6,Eb,Eb7sus,Ab,Ab7sus/Eb,Ab6/Bb,Ab/Bb,Ab/C,D7,Absus/Eb,G7,Ab2/Gb,Bbsus/D,Bb7/D,Dbmaj7,EbMaj7,Ab2/C,Absus/Gb",advanced,nobody-needs-to-know-the-last-five-years
676,paul-simon,"A,F7,B7,B,G,D7,F#m,C,Am,E,Em,D,A7,E7,Bm",intermediate,kodachrome
677,xxxtentacion,"Ab,Cm,Bb",intermediate,jocelyn-flores
678,boney-m-,"A,B,G,F#m,E,Em,D,Bm,F#",intermediate,rasputin
679,sojah,"Abm,Ebm,Gb,F,Bbm,Ab,Db",advanced,so-high
680,rabindranath-tagore,"A,F#m,E,D,Bm,F#",advanced,amaro-porano-jaha
681,cavetown,"A,G,Dadd9,D,Bm,Bm7",intermediate,green
682,misc-soundtrack,"Em7/G,Abmaj7,Bb/D,Gsus4,Em7,Fsus4,Ebm9,C11,F7,Ebmaj7/Bb,G,Dm7/C,Bb/Ab,Eb/Bb,Fm7/Eb,Db,Fm/Ab,Cm9,Bbm6,C9,Gm7/Bb,Gb,Fmaj7,Gm7,Eb,Dbm/Ab,Eb9,Fm6/Ab,Bb,G/F,F/A,Bbsus4,Ab/C,Dbsus4,Abm/B,Emaj7",advanced,sweeney-todd-not-while-im-around
683,creedence-clearwater-revival,"G,Am/G,F/C,C,F,Am,C/B",novice,have-you-ever-seen-the-rain
684,phoebe-bridgers,"Dm,G,C,F,Am",intermediate,i-know-the-end
685,bob-dylan,"G,D/F#,Em,C",intermediate,boots-of-spanish-leather
686,fleetwood-mac,"A,G,D7,C,Am,Em,D,E7,Bm",intermediate,landslide
687,jupiter-jones,"G,C,Em,D,Bm",advanced,still
688,roxette,"Bb,Dm,G,C,Gm,Cm,F,Am,Eb",intermediate,it-must-have-been-love
689,steely-dan,"Am7,Eb/Ab,Dm7,Gbmaj7,Cm7,Ebmaj7,Cm6,F9,Em7,Gm7,F/Bb,Emaj7,E7,Fm7",advanced,the-royal-scam
690,frank-sinatra,"Amaj7,Dm7,G#7,E7,F7,B7,Bm,Bm7,Am7,C9,C,Cmaj7,D9,A9,A,A#m7,F#7,Cadd9,G7,A7",advanced,the-best-is-yet-to-come
691,bethel-music,"A,G,F#m,Bm9,Em,D,Bm",intermediate,ever-be
692,daniel-caesar,"Emaj9,F#6,F#7,Ebm7,Db7sus4,Dmaj7,E6,Dbm7,Eb7b9",advanced,freudian
693,dan-shay,"G/B,G,C,Em,Bm",novice,10000-hours
694,sin-bandera,"G#m7,A,A5,E,Gm7,F#m7",advanced,te-vi-venir
695,the-1975,"Am7,G,F,C",advanced,sex
696,rod-stewart,"G,C,Am,D/F#,Em,D",novice,i-dont-want-to-talk-about-it
697,taylor-swift,"A,E,C#m,B",novice,exile
698,oasis,"D7,G,C,G7,Fmaj7,C/B,Am,Fm,Fmaj,E7",novice,half-the-world-away
699,creedence-clearwater-revival,"G,C,F,D,A7",intermediate,the-midnight-special
700,lynyrd-skynyrd,"Am7,G,Am,C",novice,simple-man
701,the-beatles,"A,B7,B,G,Caug,F#m,C,G7,E,C#m,Em,D,A7,Bm",intermediate,all-my-loving
702,bruno-mars,"G/B,Em/G,Bb,Dm,C/G,D7,G,C,G7,Em/B,Am,F,Fm,Em",novice,when-i-was-your-man
703,christina-aguilera,"G#m7,F#m6,G#7/B#,G#7,F#m,G#7sus4/D#,E9,C#m,C#m/B,F#m7,A7",advanced,save-me-from-myself
704,stevie-wonder,"Ab7,Ebm7,Bb7#5#9,Bb7,C7,Abm6,Fm7",advanced,i-wish
705,fleetwood-mac,"A,D6,F6,Bb,Dm,Gmaj7,Bbmaj7,G,Dmaj7,C,Fmaj7,F,D,Bm",intermediate,gypsy
706,radiohead,"Am7,G/B,D5,A5,G/F#,Dsus4,Cadd9,A7sus4,E5,C5,C7,G5/F#,Em,B5,D,Asus4,G5",advanced,anyone-can-play-guitar
707,the-rolling-stones,"A,B7,G,C,E,D",intermediate,i-cant-get-no-satisfaction
708,gnarls-barkley,"G,C,Gsus4,Cm,Eb,Ab",intermediate,crazy
709,jason-mraz,"B,C#9/F,E,G#m,F#",intermediate,im-yours
710,sinead-harnett,"D9sus4,Cm,Cm11,D#/A#,D7b5,Cmin/B,G#M7,Cm9,D7/A,D#9,Dsus4,C,Dm7b5,G#maj13,C7b13,A#m7,Fm9,G7b13,C/E",advanced,if-you-let-me
711,edward-sharpe-and-the-magnetic-zeros,"Dm,G,C,F,Am,C/E",novice,home
712,frank-sinatra,"Am7,B9,B7,Gmaj7,F#m7b5,Bbdim,Bm7b5,Em6,B7b5#9,Am,Em7,C7,Em,C6,D9,E7,C9#11",advanced,im-a-fool-to-want-you
713,clairo,"G,F,Am",novice,bags
714,lifehouse,"G/B,G,Dsus4,Cadd9,A7sus4,C,Cm,Em7,Am,D,Dsus,Dsus4/F#,Bm",novice,you-and-me
715,misc-cartoons,"A,Ab/G,Bb,Dm,B,E/G#,Dm/C,F#m,C,Am,E,C#m,F,Fm,Ab,B/D#,Dmb5",novice,moana-how-far-ill-go
716,lucy-rose,"Cmaj7,D,Am7,Em",intermediate,shiver
717,alice-in-chains,"Dm,G,C,Am,F,D",intermediate,down-in-a-hole
718,simon-garfunkel,"Fm6,Dm7,F/C,Em/B,C7/E,F,F#dim7,E7,G#dim7,G/B,G,A7sus4,C7,D,C7/Bb,Am/G#,Am7,Am/G,C,Cmaj7,Fm,Gm7,D/C#,D/B,G/F,C/G,Bb,D7,G7,C6/G,Am,A7",advanced,bridge-over-troubled-water
719,the-beatles,"Am7,D7sus,D7,G,C,G7,Am",intermediate,rocky-raccoon
720,eddie-vedder,"A,D7,G,Gm,D,A7,E7",intermediate,tonight-you-belong-to-me
721,les-cowboys-fringants,"G,C,F,Am,Em",advanced,marine-marchande
722,taylor-swift,"A,G,Em,D,Bm",novice,seven
723,mac-demarco,"G#m7,A,B,C#m7,D#m7,F#",intermediate,freaking-out-the-neighborhood
724,charlie-hall,"Am7,C/G,Gsus,G,D/F#",novice,how-great-thou-art
725,misc-cartoons,"A,Bb,G,Cadd9,C,Cm,Am,Asus4,Em7,Em,D,Dsus4/F#,Bm7",intermediate,frozen-let-it-go
726,ella-fitzgerald,"A,B7,Dm,Ab7,G,Eb7,C,G7,Fm,Ab,D9,A7",intermediate,dream-a-little-dream-of-me
728,taylor-swift,"D,A,Em,G",novice,you-belong-with-me
729,frank-sinatra,"B9,Am7,Abm7,Eb9,F#maj7,G7,Fmaj7,Gm7,F#m7,D9,F#7b5",advanced,the-girl-from-ipanema
730,rod-stewart,"A,Dm,G,F#m,C,F,Em,D",intermediate,maggie-may
731,ewan-mcgregor,"G#dim,G#m/B,C7/E,Em7,G7sus,G#(add9),E7,F#m/A,D6,D7/F#,G,G6,C#/D#,B13,G/D,D#7/F,C#7/F,G#/A#,Bm7,Am7,Cm7,E,A#dim7,Emaj7,C#/G#,G#7,E6,C#m9,G#dim7,F7,G#6,Bm/A#,C#m7,C7,G#add9,F#/D,B7/D#,B/F#,D#maj7,A#dim,E13,A#m7,F#7,F/A,G#/D#,B7sus,D#/G,G7,A6,A#13,G#7/C,C#6,Edim,Cdim,Adim,G#maj7,A#m/A,C#m,F#m7,B/D#,Fm7,B/C#,G/B,B7,G#,C#/F,G#/C,C,Fm,D#6,D#,A,C/G,Am,G#m6,C/E,A#,Amaj7,Cm,D#7/G,A#7,A#7sus,A#m,Gmaj7,F#m,Am/G#,Bm,D#7,B,Bdim,D#9sus,C13,C6,C#,D7,C/D,A7",advanced,be-our-guest
732,the-chainsmokers,"A,G,F#m,D,Bm",intermediate,something-just-like-this
733,cody-fry,"Ebm,Fm/Db,Bbsus4,Abmaj,Gb,Fm,F,Dbmaj7,Eb/Db,Bbm,Ebm/Db,Fmaj,Ab,Dbmaj,Db,Dbsus2/Ab",advanced,photograph
734,misc-cartoons,"B/E,C#m,F#m7,E7,F#,B7,C#m7,G,F#m,C#m/B,Bsus,E7/G#,B7/D#,F#/D,B,G#/C#,E/B,G#m,A,F#9,F#7,A#m7,C#7,E/G#,A/B,G7,F#/A#,E,Bb/E,A#dim7,F/Eb",advanced,tangled-ive-got-a-dream
735,bruce-springsteen,"A,E,C#m,B",intermediate,im-on-fire
736,the-beatles,"A,Bb,B7,B,Dm,F#m,Gm,F,E,C#m,C7,G#m",novice,and-i-love-her
737,simon-garfunkel,"A,G,Ds4,Em,D",intermediate,scarborough-fair
738,harry-styles,"A,G,F#m,C,F,Em,D,Bm",intermediate,meet-me-in-the-hallway
739,misc-soundtrack,"Dm,G,C,F,Am,E,Em",advanced,pirates-of-the-caribbean-hes-a-pirate
740,nirvana,"A,A5,Bb,G#5,B,G,E5,F#5,E,G#,Eb,G5,D,F5",advanced,mexican-seafood
741,strawberry-shortcake,"G,G7,C,F,C7",advanced,cuppy-cake
742,neil-young,"A,Gmaj7,G,C,Am,G#,Em,D,Bm,F#",intermediate,tell-me-why
743,tyler-childers,"C/G,C,B/C,F,Am",novice,lady-may
744,matt-maltese,"Bb,Ebm,Ebmaj,D7,Ebmaj7,Gm/Bb,Bb/F,Gm,Cm,D/F#,Eb,Bb/E,D",intermediate,as-the-world-caves-in
745,alice-merton,"F,G,Am,Dm",intermediate,no-roots
746,abba,"A,Esus4,E,Asus4,C#m,D,E7",intermediate,chiquitita
747,hillsong-live,"Dm,G,C,F,Am",novice,i-surrender
748,traveling-wilburys,"D,A,G",intermediate,end-of-the-line
749,rex-orange-county,"Bmaj7,F#7,G#m9,Dm,C#13,D#m7,C#maj7,F#maj7,Fm7-5,G#m7-5,D#m/D,D#m7-5,D#m",advanced,sunflower
750,zaz,"Bsus2/D,Cm,Em7,C#m,Fm7,F#,G#m7,Em/G,Bm/D,C#m7,G,Badd9,F#7/E,F#7/D,Bm,D#7,B,Dadd9,C,Emadd9/G,G#m,A,F#7,F#7/C#,Cadd9,G7,A6,Em",advanced,sous-le-ciel-de-paris
751,banners,"D,A,Bm,G",novice,someone-to-you
752,chris-martin,"A,B,Esus2,Esus4,B/D#,Amaj7/C#,F#m11,E,G#m,F#m11/E",advanced,shelter-from-the-storm
753,herb-alpert-and-the-tijuana-brass,"Bmaj7,Abmaj7,Fm7,Bbm7,F7,Db9,Ab7,Ebm7,Db,B9,Cm7,Ebm7/Ab,Dbma7,Ab,F7sus4,Abm7,Bbmaj7,Gbmaj7,Eb7",advanced,this-guys-in-love-with-you
754,the-beatles,"A,C/G,Bb,B,Dm,G,C,Gsus4,C/B,Am,F,A7",intermediate,for-no-one
755,george-benson,"Bbm7,Abm7,Db7,Ebm7,Cm7,Gb,Db/F,Dbmaj7,Emaj7,Db/Eb,Db,Fm7",advanced,give-me-the-night
756,green-day,"G,Cadd9,C,Em,D",novice,good-riddance-time-of-your-life
757,james-arthur,"D,G,Em,C",novice,impossible
758,barry-white,"Am7,F7,Bb,Dm,Dm7,D7,C,G7,Fmaj7,F,C7,Gm7,Bbm",advanced,youre-the-first-the-last-my-everything
759,ozzy-osbourne,"A,F#m,E/A,E,D/A,D,Bm",intermediate,crazy-train
760,jimmy-eat-world,"D,A,G",intermediate,the-middle
761,mercyme,"D,G,Em,C",intermediate,even-if
762,david-gilmour,"A,F#7,Amaj7,Gmaj7,F#m,C,Cmaj7,Fmaj7,E,C#m,Em,D,G#m,Bm",advanced,where-we-start
763,darius-rucker,"D,G,Em,C",novice,wagon-wheel
764,bob-dylan,"A,Em7/B,G,F#m/C#,D,A7,Bm",intermediate,forever-young
765,misc-television,"G,Dsus2,Am,C",novice,julie-and-the-phantoms-flying-solo
766,dear-evan-hansen,"Gsus4,Cm,C#sus4,F#,G/B,A#m,G,D,Bm,B,F#sus4,C,C5,F#5,G#m,D#m,C#,C/D,F#/A#,Am,Em,G5",advanced,anybody-have-a-map
767,jessie-j,"F,Am,Em,C",novice,price-tag
768,danny-elfman,"Ebmaj7,Dmaj7,Bb7,Cm,Bbm,F#,G,F#m,Gm,D,Gm6,Bm,F#m6,Ebm,B,C,Cmaj7,Eb,A,C#,Bb,G7,Am,Em,A7",advanced,whats-this
769,misc-cartoons,"Bbm7,Bb,Dm7,G,Cm7,Abmaj7,Bdim,Gm,Cm,Fm,Eb,Gm7,Ab,F/G,Fm7",intermediate,neon-genesis-evangelion-a-cruel-angels-thesis
770,bruno-mars,"Am7,A,Dm,G,C,Em7,F,Am,E,A7,E7",advanced,thats-what-i-like
771,coldplay,"A,Bb,Dm7,G,Dmaj7,C,C7,D,A7,Bm7,Dsus2",novice,the-scientist
772,onerepublic,"F,G,Am,C",novice,apologize
773,billie-eilish,"Dm,C,F,Am,E7",novice,hostage
774,brett-young,"G,C,Am,Em,D",novice,in-case-you-didnt-know
775,daniel-caesar,"Gdim7,Abmaj7,Db/F,Dbm6,Fm7,Bbm7,Gbmaj9,Db,Cm7,Gb,Gb/Db,Fm,Dm7b5,Eb,Ab,Eb9,Edim7,Dbmaj7,Eb6,Emaj7",advanced,wont-live-here
776,bobby-helms,"A,D6,B7,G,D7,Dmaj7,Gm,E,Em,D,A7,E7",intermediate,jingle-bell-rock
777,cavetown,"B,F#m7b5,Amaj9,Caug,E,C#m",advanced,banana-bread
778,celine-dion,"A,Bb,Dm,G,F#m,C,F,Am,E,Em,C#m,D,Bm",intermediate,my-heart-will-go-on
779,bon-jovi,"Gbm,A,Bb,G,E7sus4,C,Gm,Gsus4,F,D7sus4,Eb,Em,Fsus4,D,E,F7sus4,G7sus4,Am",intermediate,livin-on-a-prayer
780,rascal-flatts,"F/A,Bb,Dm,G,C,Gm,F",intermediate,life-is-a-highway
781,finneas,"B,E,C#m,Em,G#m,Eadd9,F#",intermediate,i-lost-a-friend
782,tj-monterde,"A,G,C#m,D,Bm",advanced,ikaw-at-ako
783,luke-combs,"D,G,Em,C",novice,without-you
784,harry-styles,"C,Cmaj7,Em,D,Bm",novice,golden
785,lewis-capaldi,"G,C,F,Am,Em",novice,forever
786,stevie-wonder,"Bmaj7,Amaj7,Gb6,Ebmmaj7,Bbm,Fm7,Bbm7,Dbmaj9,Db9,Ab7,Ebm7,C#m7,Abm,Bb11,Db,Bm7,Gbm6,Db7,Ebm,Gbm7,C9,Cbm6,Cb/Db,Ab/Db,Fm,Abm7,Cb6,Gbmaj7,Eb11,Cbm7,Dbmaj7",advanced,lately
787,paramore,"F,G,Am,C",novice,still-into-you
788,hozier,"F,Am,Dm,C",novice,cherry-wine
789,andrew-lloyd-webber,"Edim,Dbdim,F#dim,Cm,F,F#,G,F#m,Gm,D,Db,B,Dsus4,C,Gb,Eb,Ab,G#m,D#,C#,A,Bb,Dm,D7,Am,E,Em",intermediate,the-phantom-of-the-opera
