index,Artist,Chords,Label,Song
78,air-supply,"Cm7/B,F,C#m,F#m7,Am/C,G#m7,Am7/B,G#sus4,F#m,Gm,F#m7/B,G#,C#m/B,C7,A6/B,B/A,Am7,B,Am/E,E9,Gm7,G#m,A9,A,F/A,Bb,Dm,E/G#,A/B,Bbm/Db,Am,E",advanced,two-less-lonely-people-in-the-world
79,isla-vista-worship,"Am7,Eaug,Dm7,C,Gm,Fmaj7,F,C7,Gm7,E,Am",advanced,so-in-love
80,hall-oates,"Am7,F/A,Bb,Dm7,Bbmaj7,Bb/C,F/C,F,Gm7",intermediate,rich-girl
81,paul-mccartney,"G/B,B7,B,G,C,G/D,Em7,D/F#,Am,Em,F#m7,D,Em/D,A/C#,Em/C",advanced,dear-boy
82,two-door-cinema-club,"D6,G,Cmaj7,Em7,Em,Bm",intermediate,what-you-know
83,avenged-sevenfold,"Em/G,G,C,Am,E,D/F#,Em,D,Bm",novice,so-far-away
84,misc-cartoons,"A,Dm,G,Bsus4,F/C,C,Cm,E,C#m,Em,D,A7,Bm",intermediate,frozen-2-into-the-unknown
85,don-mclean,"G,D7,C,Am,Em,D,A7",intermediate,american-pie
86,dire-straits,"Edim,Em6,F,Em7,F#,G/B,Am6,Em/G,Bm/D,B7,G,D,Bm,A/C#,B7/A,B,Gdim,C,A,C#,F/A,Am6/F#,Am,Em",advanced,private-investigations
87,rex-orange-county,"Bmaj7,F#9,Bbm7,A,G#m7,Am7,Dm7,C#m7,Ebm7,Fm11,Bmaj9,F#maj7,Bb7#9,C#9,Eb7",advanced,rex-intro
88,toto,"Bb,Cm7,F#dim,Bb/D,Gm,Cm,F,Eb7+,Eb,Db7+,Gm7,Ab,Cm11,Fm7",advanced,these
89,alessia-cara,"C#,A#m,Dm7,G,C#maj7,F#m,C,Cmaj7,F,Am,Fm,G#,F#",novice,how-far-ill-go
90,we-the-kings,"Bb,G,C,F,Am,E,Em",intermediate,sad-song
91,summer-walker,"G#m7,C#,B,Cdim,Cm,C#m,G#,G#m",intermediate,session-32
92,queen,"Abmaj7,Bb7,Bb/D,Ab/Eb,Cm,Am7b5,Adim,F,Db/Bb,Db/D,Cdim7,E7,F#,Ebdim,F7,Abm,Gaug/B,Db/Cb,Gm,C7,D,Fm7/Eb,Db,Db/C,B,Cm7,C,Cm7/Bb,Gb,Fm,Gm7,Eb,C#dim,Dm7b5,Fm/E,Ab,Eb/G,C7sus4,A,Ab/Bb,Bb,C/G,Db/Ab,D7,Bb7sus4,Dbmaj13,Fdim,D/A,Bb6,G7/B",advanced,bohemian-rhapsody
93,glen-hansard,"G,F,Am,C",novice,falling-slowly
