index,Song,Artist,All Chords,Chords,Label,Link
10,stop-crying-your-heart-out,oasis,"['Bm', 'Bmadd11', 'Asus2', 'E', 'Esus', 'Em7', 'G', 'D', 'Asus4', 'Bm', 'Asus2', 'E', 'Esus', 'G', 'Bm', 'Asus2', 'E', 'Esus', 'G', 'D', 'Asus4', 'Em7', 'G', 'D', 'E', 'G', 'Bmadd11', 'Asus2', 'E', 'G', 'D', 'Asus4', 'Em7', 'G', 'D', 'E', 'G', 'D', 'Asus4', 'Em7', 'G', 'D', 'Asus4', 'Em7', 'G', 'D', 'Asus4', 'Em7', 'G', 'D', 'Asus4', 'Em7', 'G', 'Em7', 'G', 'Em7', 'G', 'Em7']","Asus2,Em7,E,D,Asus4,Esus,Bmadd11,Bm,G",intermediate,https://tabs.ultimate-guitar.com/tab/oasis/stop-crying-your-heart-out-chords-38290
11,learning-to-fly,tom-petty-and-the-heartbreakers,"['F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am']","G,C,Am,F",novice,https://tabs.ultimate-guitar.com/tab/tom-petty-and-the-heartbreakers/learning-to-fly-chords-153377
12,take-me-to,hozier,"['Em', 'Am', 'Em', 'Am', 'G', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Am', 'G', 'Am', 'Em', 'Am', 'D', 'C/G', 'Em', 'Am', 'Em', 'Am', 'G', 'Am', 'Em', 'Am', 'D', 'C/G', 'C/G', 'G', 'C', 'G', 'C', 'G', 'Cm', 'G', 'G', 'F#', 'F#', 'F', 'Em', 'B', 'G', 'Am', 'Em', 'Am', 'G', 'G', 'F#', 'Em', 'Am', 'Em', 'Am', 'G', 'Am', 'Em', 'Am', 'D', 'C/G', 'Em', 'Am', 'Em', 'Am', 'G', 'Am', 'Em', 'Am', 'D', 'C/G', 'C/G', 'G', 'F#', 'F#', 'F', 'Em', 'B', 'G', 'Am', 'Em', 'Am', 'G', 'G', 'F#', 'C', 'G', 'B', 'Em', 'C', 'G', 'B', 'Em', 'C', 'G', 'B', 'Em', 'C', 'G', 'B', 'Em', 'G', 'C', 'G', 'C', 'G', 'Cm', 'G', 'G', 'F#', 'F#', 'F', 'Em', 'B', 'G', 'Am', 'Em', 'Am', 'G', 'G', 'F#', 'G', 'F#', 'F#', 'F', 'Em', 'B', 'G', 'Am', 'Em', 'Am', 'G', 'G', 'F#']","Em,C,Am,Cm,F#,B,C/G,D,G,F",intermediate,https://tabs.ultimate-guitar.com/tab/hozier/take-me-to-church-chords-1424967
13,love-is-all,the-tallest-man-on-earth,"['Em6', 'Em', 'Em6', 'G', 'C', 'C', 'G', 'G', 'Em', 'Em6', 'G', 'Em6', 'G', 'Em', 'Em6', 'G', 'C', 'C', 'G', 'G', 'Em', 'Em6', 'G', 'Em6', 'G', 'Em6', 'Em6', 'G', 'C', 'Em6', 'Am', 'Em6', 'C', 'G', 'Em6', 'G', 'C', 'G', 'Em6', 'G', 'Em', 'Em6', 'G', 'C', 'C', 'G', 'G', 'Em', 'Em6', 'G', 'Em6', 'G', 'Em', 'Em6', 'G', 'C', 'C', 'G', 'G', 'Em', 'Em6', 'G', 'Em6', 'G', 'Em6', 'Em6', 'G', 'C', 'Em6', 'Am', 'Em6', 'C', 'G', 'Em6', 'G', 'C', 'G', 'Em6', 'G', 'Em', 'Em6', 'G', 'C', 'C', 'G', 'G', 'Em', 'Em6', 'G', 'Em6', 'G', 'Em', 'Em6', 'G', 'C', 'C', 'G', 'G', 'Em', 'Em6', 'G', 'Em6', 'G', 'Em6', 'Em6', 'G', 'C', 'Em6', 'Am', 'Em6', 'C', 'G', 'Em6', 'G', 'C', 'G', 'Em6']","Em,C,Am,Em6,G",intermediate,https://tabs.ultimate-guitar.com/tab/the-tallest-man-on-earth/love-is-all-chords-1080689
14,the-last-great-american-dynasty,taylor-swift,"['G', 'Am', 'C', 'G', 'Am', 'C', 'G', 'Am', 'G/B', 'C', 'G', 'Am', 'C', 'G/B', 'Am', 'C', 'G/B', 'Am', 'C', 'G/B', 'Am', 'Em', 'C', 'G/B', 'Am', 'C/E', 'D', 'G/B', 'C', 'G', 'D', 'G/B', 'C', 'G', 'D', 'G/B', 'C', 'G', 'Am', 'C', 'G', 'Am', 'C', 'G', 'Am', 'C', 'G/B', 'Am', 'Em', 'C', 'G', 'Am', 'C', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'D', 'G', 'C', 'Am', 'Em', 'G', 'D', 'Am', 'Em', 'G', 'D', 'Am', 'Em', 'G', 'D', 'Am', 'Em', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G/B', 'D', 'G', 'C', 'G/B', 'D', 'G', 'C', 'G/B', 'D', 'G', 'C', 'G/B', 'D', 'G', 'C', 'G/B', 'D', 'G', 'C', 'G/B', 'D', 'G']","Em,C,Am,G/B,C/E,D,G",novice,https://tabs.ultimate-guitar.com/tab/taylor-swift/the-last-great-american-dynasty-chords-3261365
15,the-night-we-met,lord-huron,"['F#m', 'E', 'A', 'D', 'F#m', 'E', 'A', 'F#m', 'E', 'D', 'F#m', 'E', 'A', 'F#m', 'E', 'D', 'F#m', 'E', 'A', 'F#m', 'E', 'D', 'F#m', 'E', 'A', 'F#m', 'E', 'D', 'F#m', 'E', 'A', 'F#m', 'E', 'D', 'F#m', 'E', 'A', 'F#m', 'E', 'D', 'F#m', 'E', 'A', 'F#m', 'E', 'D', 'F#m', 'E', 'A', 'F#m', 'E', 'D', 'F#m', 'E', 'A', 'F#m', 'E', 'D', 'F#m', 'E', 'A', 'F#m', 'E', 'D', 'F#m', 'E', 'A', 'F#m', 'E']","A,D,E,F#m",intermediate,https://tabs.ultimate-guitar.com/tab/lord-huron/the-night-we-met-chords-1990917
16,rebel-yell,billy-idol,"['B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'G', 'F#', 'E', 'G', 'F#', 'E', 'G', 'F#', 'E', 'G', 'F#', 'E', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'B', 'D', 'G', 'E', 'D', 'A', 'A', 'G', 'E', 'A', 'D', 'B', 'A', 'G', 'E', 'D', 'A']","A,F#,E,B,D,G",intermediate,https://tabs.ultimate-guitar.com/tab/billy-idol/rebel-yell-chords-938266
17,cornelia-street,taylor-swift,"['G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'D/F#', 'Em7', 'Cadd9', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7', 'Cadd9', 'G', 'D/F#', 'Em7']","D/F#,Cadd9,Em7,G",novice,https://tabs.ultimate-guitar.com/tab/taylor-swift/cornelia-street-chords-2821907
18,hello-goodbye,the-beatles,"['Dm', 'C', 'G7', 'Am', 'G7', 'Am', 'G7', 'G7', 'G', 'F', 'C', 'F', 'G#', 'C', 'F', 'G#', 'C', 'Dm', 'C', 'G7', 'Am', 'G7', 'Am', 'G7', 'G7', 'G', 'F', 'C', 'F', 'G#', 'C', 'F', 'G#', 'C', 'C', 'G7', 'Am', 'G', 'Am', 'Am', 'G7', 'G7', 'G', 'F', 'C', 'F', 'G#', 'C', 'F', 'G#', 'C', 'Dm', 'C', 'G7', 'Am', 'G7', 'Am', 'G7', 'G7', 'G', 'F', 'C', 'F', 'G#', 'C', 'F', 'G#', 'C', 'F', 'G#', 'C', 'G#', 'F', 'C', 'C']","C,Am,Dm,G#,G7,G,F",intermediate,https://tabs.ultimate-guitar.com/tab/the-beatles/hello-goodbye-chords-1061734
19,all-or-nothing-at-all,frank-sinatra,"['A9', 'Ab6', 'Abaug', 'Abm6', 'Am', 'Am7', 'Ammaj7', 'Bb6', 'Bb7', 'Bb9', 'Bbaug', 'Bbdim', 'Bbm7', 'Bdim', 'Bm7', 'Bm7b5', 'C6', 'C7', 'Cmaj7', 'Db9', 'Dbdim', 'Dbm7', 'Dm', 'Dm7b5', 'E7', 'Eb7', 'Eb9', 'Ebaug', 'F#7', 'Fm', 'G7', 'G9', 'Gaug', 'Gm7b5', 'Dbm7', 'Dbdim', 'F#7', 'Bm7', 'Bm7b5', 'E7', 'Am', 'Ammaj7', 'Am7', 'Am6', 'Am', 'Ammaj7', 'Am7', 'Am6', 'Bb9', 'Bb6', 'Bb7', 'Am', 'Ammaj7', 'Am7', 'Am6', 'Bb9', 'Bb6', 'Bb7', 'G7', 'Gaug', 'Cmaj7', 'Bdim', 'E7', 'Am', 'Ammaj7', 'Am7', 'Am6', 'Am', 'Ammaj7', 'Am7', 'Am6', 'Bb9', 'Bb6', 'Bb7', 'Am', 'Ammaj7', 'Am7', 'Am6', 'Bb9', 'Bb6', 'Bb7', 'G7', 'Gaug', 'Cmaj7', 'Bbdim', 'Eb7', 'Ab6', 'Abaug', 'Ab6', 'Abaug', 'Ab6', 'Abaug', 'Ab6', 'Abaug', 'Eb6', 'Ab6', 'Abaug', 'Db6', 'Ab6', 'Eb9', 'Ebaug', 'Eb7', 'Bbm7', 'Eb7', 'Bbm7', 'Eb7', 'Bbm7', 'Eb7', 'Gm7b5', 'C7', 'Fm', 'Db9', 'C7', 'Bdim', 'Bdim', 'Am', 'Ammaj7', 'Am7', 'Am6', 'Am', 'Ammaj7', 'Am7', 'Am6', 'Bb9', 'Bb6', 'Bbaug', 'Bb7', 'Bb6', 'A9', 'Bbdim', 'Dm', 'Bm7b5', 'Am7', 'G9', 'C6', 'Ab6', 'Abaug', 'Ab6', 'Abaug', 'Ab6', 'Abaug', 'Ab6', 'Abaug', 'Eb', 'Ab', 'Abaug', 'Eb9', 'Ebaug', 'Eb7', 'Bbm7', 'Eb7', 'Bbm7', 'Eb7', 'Bbm7', 'Eb7', 'Gm7b5', 'C7', 'Fm', 'Db9', 'C7', 'Bdim', 'Am', 'Ammaj7', 'Am7', 'Am6', 'Am', 'Ammaj7', 'Am7', 'Am6', 'Bb9', 'Bb6', 'Bbaug', 'Bb7', 'Bb6', 'A9', 'Bbdim', 'Dm', 'Bdim', 'Am', 'Dm7b5', 'C6', 'Bdim', 'Am', 'Dm7b5']","Dm,Bbm7,Ab6,Eb6,Ebaug,C6,C7,G9,Bb7,Am,Am7,Gaug,Abm6,Bbdim,Dbdim,Eb,Bb9,Bbaug,Am6,Gm7b5,Bdim,Cmaj7,Fm,Ab,G7,E7,Eb9,Bm7,Eb7,Bb6,F#7,Dbm7,Db6,Db9,Abaug,Bm7b5,A9,Dm7b5,Ammaj7",advanced,https://tabs.ultimate-guitar.com/tab/frank-sinatra/all-or-nothing-at-all-chords-3203522
