index,tempo,duration_m,time_signature,energy,n_unique_chords,n_difficult_chords,chord_per_min
62,145.759,3.0246666666666666,5.0,0.409,9,2,19.836896627727572
63,85.024,3.7721666666666667,4.0,0.526,7,0,26.775062961162902
64,109.975,3.57755,4.0,0.528,7,0,19.845983983452363
65,168.027,3.58035,4.0,0.879,36,25,31.840462524613514
66,115.431,1.6337833333333334,3.0,0.123,8,2,20.198516735185205
67,123.835,7.61635,4.0,0.229,7,2,7.746492742586672
68,101.236,3.7275833333333335,3.0,0.943,13,1,27.631843687822762
69,150.277,4.01845,4.0,0.625,17,11,25.880625614353796
70,95.05,4.39,3.0,0.448,5,0,15.945330296127564
71,143.883,5.905333333333333,4.0,0.402,74,55,49.1081508241138
72,137.042,4.068883333333334,4.0,0.209,4,0,19.169878713651983
73,124.482,4.3193,4.0,0.707,18,12,24.541013590165072
74,109.936,4.456666666666666,4.0,0.443,41,20,30.964846671652957
75,146.488,7.503783333333333,3.0,0.615,5,0,9.46189366697244
76,104.085,3.747783333333333,4.0,0.262,7,1,42.958726714013174
77,161.939,4.070666666666667,4.0,0.512,4,3,2.7022600720602683
78,78.049,7.98445,4.0,0.535,14,14,29.30696541402351
79,120.105,2.55845,4.0,0.552,16,11,27.36031581621685
80,81.77,3.7062999999999997,4.0,0.646,4,0,30.218816609556704
81,129.131,2.870883333333333,4.0,0.463,11,2,27.517662972488147
82,143.994,3.8913,4.0,0.698,6,0,33.15087502891065
83,90.598,3.3317833333333335,4.0,0.89,4,0,18.608653023656
84,79.342,3.91755,4.0,0.922,9,4,53.34967007440875
85,135.975,3.0188833333333336,4.0,0.435,5,1,29.481099523554512
86,108.996,3.0870666666666664,4.0,0.401,5,1,22.02738306051052
87,86.919,3.534883333333333,4.0,0.704,8,3,26.309213411097964
88,76.023,2.6682833333333336,4.0,0.573,5,1,37.85205219335777
89,134.893,7.125783333333334,4.0,0.438,8,4,16.41924747454666
90,73.008,3.3424666666666667,4.0,0.657,4,1,37.99589125795321
91,153.958,2.51155,4.0,0.904,7,1,72.46521072644383
92,88.897,2.5837833333333333,3.0,0.398,13,3,17.803350384126635
93,110.535,3.6233333333333335,4.0,0.243,12,5,38.086476540938364
94,135.596,4.593333333333334,4.0,0.823,13,8,16.11030478955007
95,94.949,3.15,4.0,0.244,11,10,26.984126984126984
96,108.066,2.538883333333333,4.0,0.42,22,16,34.26703340707529
97,95.871,5.865333333333334,3.0,0.237,13,0,27.449420322800634
98,121.199,2.7015499999999997,4.0,0.474,3,0,24.80057744628084
99,73.643,4.6051166666666665,3.0,0.128,12,8,5.645893878910053
100,110.936,4.477783333333333,4.0,0.731,40,38,18.53595715141793
101,133.843,5.056216666666667,4.0,0.619,8,1,10.086593071894994
102,78.709,3.591333333333333,3.0,0.307,16,13,21.44050491925005
103,158.831,3.2696666666666667,4.0,0.685,9,5,9.48108879600367
104,110.01,3.572,4.0,0.703,5,0,38.63381858902576
105,129.865,4.425316666666666,4.0,0.566,7,2,41.12700032766017
106,199.807,5.497516666666667,4.0,0.481,4,0,19.827134069625377
107,76.936,4.15645,4.0,0.656,9,5,31.517280371470843
108,98.883,2.56155,4.0,0.519,5,0,33.5734223419414
109,130.014,3.2171666666666665,4.0,0.638,6,0,17.406620732528623
110,90.43,3.033333333333333,4.0,0.384,8,0,20.10989010989011
111,120.403,3.07755,4.0,0.247,14,7,37.36738639502202
112,81.396,4.727333333333333,4.0,0.437,6,1,34.05725567620928
113,75.801,3.4781166666666667,4.0,0.473,6,1,22.713441661435546
114,127.994,4.877716666666667,3.0,0.437,4,0,15.376046852523208
115,125.77,3.7886666666666664,4.0,0.639,10,7,26.658455041351402
116,90.991,3.514883333333333,4.0,0.659,6,0,37.27008482974779
117,169.211,1.308,4.0,0.463,6,3,21.406727828746178
118,141.72,3.1733333333333333,3.0,0.365,4,1,22.689075630252102
119,124.209,5.275933333333333,3.0,0.0274,4,0,8.908376401015936
120,106.96,3.2620333333333336,4.0,0.704,12,9,39.239329252715585
121,89.643,2.5549000000000004,1.0,0.63,4,1,21.135856589298992
122,115.241,4.264883333333334,3.0,0.371,5,0,14.068380143263004
123,120.524,4.490216666666667,3.0,0.376,13,5,14.475916158463027
124,89.531,1.9468500000000002,3.0,0.236,7,3,32.35996609908313
125,116.974,4.392883333333333,4.0,0.499,7,1,7.51215033406305
126,104.902,4.527783333333333,3.0,0.124,6,1,19.65641759948761
127,128.128,3.976,4.0,0.179,6,1,22.887323943661972
128,82.933,3.998883333333333,4.0,0.612,17,6,24.5068414932502
129,134.253,5.21,4.0,0.507,20,17,33.589251439539346
130,146.966,3.3946666666666667,4.0,0.838,55,38,69.22623723487824
131,167.997,3.1191166666666663,4.0,0.822,6,0,12.824143587661037
132,0.0,0.12048333333333333,0.0,0.0721,4,0,846.5901231152303
133,118.026,3.009333333333333,4.0,0.68,3,0,40.54054054054054
134,138.4,4.0520000000000005,4.0,0.689,13,6,29.121421520236918
135,130.726,2.429116666666667,4.0,0.715,8,2,43.225589549013016
136,182.583,4.795333333333334,3.0,0.444,6,1,30.029195050743777
137,126.684,3.753533333333333,5.0,0.626,35,35,26.90798003658775
138,135.128,3.2348,4.0,0.425,3,1,10.819834301966118
139,84.383,4.266666666666667,4.0,0.449,7,6,35.625
140,126.142,4.9399999999999995,4.0,0.67,7,3,35.02024291497976
141,88.591,2.598,4.0,0.446,4,0,13.08698999230177
142,100.307,3.0393333333333334,3.0,0.293,23,18,47.70783066461943
